w1	w2	count	p_cond
चंद्रकांत	पाटलांना	1	1.00000000
चयापचयावर	एखाद्या	1	1.00000000
चांदीचे	दागिने	1	1.00000000
चित्र	आहे	1	1.00000000
छान	प्रयत्न	1	1.00000000
जणांना	कोरोनाची	1	1.00000000
जनावरांचा	बाजार	1	1.00000000
जन्मजात	रोगांचे	1	1.00000000
जप्त	केला	1	1.00000000
जाईल	,	1	1.00000000
जाणे	अनिवार्य	1	1.00000000
जातात	टॅक्सीत	1	1.00000000
जाते	पेशींच्या	1	0.50000000
जाते	शहरातील	1	0.50000000
जानेवारीपर्यंत	विद्यार्थ्यांसाठी	1	1.00000000
जीवशास्त्र	व	1	1.00000000
जेव्हा	शब्द	1	1.00000000
झाला	आहे	1	1.00000000
झाली	होती	1	1.00000000
झाल्या	आहेत	1	1.00000000
झाल्याचे	आढळले	1	1.00000000
टक्के	ॲाक्सीजनचा	1	1.00000000
टाकला	'	1	1.00000000
टिव्हीवरील	क्राईम	1	1.00000000
टीकेला	उत्तर	1	1.00000000
टीम	मजबूत	1	1.00000000
टीमवर्कमुळे	कसे	1	1.00000000
टीमही	तेवढीच	1	1.00000000
टॅक्सी	करून	1	1.00000000
टॅक्सीत	कुणीच	1	1.00000000
टोला	लगावला	1	1.00000000
ठरलं	आहे	1	1.00000000
ठेवण्यात	येणार	1	1.00000000
ठेवून	नुसतीच	1	1.00000000
डोके	ठेवून	1	1.00000000
तंत्र	प्रामुख्याने	1	1.00000000
तंत्राचा	उपयोग	1	1.00000000
तंत्राचे	अनेक	1	1.00000000
तपासणी	करण्यात	1	0.33333333
तपासणी	झाली	1	0.33333333
तपासणी	सक्तीची	1	0.33333333
तयार	करणे	1	1.00000000
तरी	चित्र	1	1.00000000
तसेच	भाजपचे	1	0.50000000
तसेच	शनिवारी	1	0.50000000
ताब्यातून	113	1	1.00000000
तिथे	शब्दांची	1	1.00000000
तिला	मनातलं	1	0.50000000
तिला	समजावतो	1	0.50000000
तिलाही	आता	1	1.00000000
ती	त्याच्या	1	1.00000000
तीनच्या	पोलीस	1	1.00000000
तुटवडा	तो	1	1.00000000
ते	बॅण्डस्टॅडला	1	0.33333333
ते	म्हणाले	1	0.33333333
ते	३०	1	0.33333333
तेवढीच	मजबूत	1	1.00000000
तेव्हा	भावना	1	1.00000000
त्यांच्या	ताब्यातून	1	1.00000000
त्याचा	सार्थ	1	1.00000000
त्याची	टीमही	1	1.00000000
त्याच्या	खांद्यावर	1	1.00000000
त्याच्याशी	आमचा	1	1.00000000
त्यानुसार	घरफोडी	1	1.00000000
त्यामध्ये	१८	1	1.00000000
त्यामुळे	शिक्षक	1	0.33333333
त्वचा	तयार	1	0.50000000
त्वचा	वापरली	1	0.50000000
त्वचारोपणासाठी	ऊती	1	1.00000000
दागिने	,	1	0.50000000
दागिने	आणि	1	0.50000000
देणं	-	1	1.00000000
देण्याचा	पवित्रा	1	1.00000000
देताना	करोनावर	1	1.00000000
धंद्रे	यांनी	1	1.00000000
धडपड	छान	1	1.00000000
न	देण्याचा	1	0.50000000
न	बोलता	1	0.50000000
नक्कीच	त्याचा	1	1.00000000
नव्हतं	खरंतरं	1	1.00000000
नव्हती	जेव्हा	1	1.00000000
नाही	असेही	1	0.33333333
नाही	त्याची	1	0.33333333
नाही	त्याच्याशी	1	0.33333333
नाॅर्मल	करण्याचा	1	1.00000000
निदान	,	1	1.00000000
नियंत्रण	मिळवले	1	1.00000000
निर्माण	केलेली	1	1.00000000
नुसतीच	बसली	1	1.00000000
न्यूज	सोनी	1	1.00000000
पब्लिसिटीसाठी	धडपड	1	1.00000000
परिस्थिती	नाॅर्मल	1	1.00000000
पवित्रा	घेतला	1	1.00000000
पाटलांना	अप्रत्यक्षपणे	1	1.00000000
पाय	घट्ट	1	1.00000000
पाहून	त्यानुसार	1	1.00000000
पेट्रोल	मालिका	1	1.00000000
पेशींच्या	चयापचयावर	1	1.00000000
पेशींवर	औषधांचा	1	1.00000000
पॉझिटिव्ह	आढळले	1	1.00000000
पोलिसांनी	त्यांच्या	1	1.00000000
पोलीस	कर्मचा	1	1.00000000
पोषण	,	1	1.00000000
पोहोचली	आहे	1	1.00000000
प्रकाश	टाकला	1	1.00000000
प्रतिक्रिया	न	1	1.00000000
प्रत्येक	हॅास्पीटलला	1	1.00000000
प्रदेश	अध्यक्ष	1	1.00000000
प्रदेशात	राहणाऱ्या	1	1.00000000
प्रयत्न	आहे	1	0.50000000
प्रयत्न	करत	1	0.50000000
प्रयोगशाळेत	त्वचा	1	1.00000000
प्रामुख्याने	वापरले	1	1.00000000
फिक्स	झाला	1	1.00000000
फॉर्मुला	फिक्स	1	1.00000000
बंद	ठेवण्यात	1	1.00000000
बरेच	हलकं	1	1.00000000
बसली	होती	1	1.00000000
बसून	काम	1	1.00000000
बाजार	रविवारी	1	0.50000000
बाजार	समितीचे	1	0.50000000
बाधा	झाल्याचे	1	1.00000000
बाधितांची	संख्या	1	1.00000000
बाबी	ऊती	1	1.00000000
बाळासाहेब	धंद्रे	1	1.00000000
बॅण्डस्टॅडला	जातात	1	1.00000000
बोलतं	नव्हतं	1	1.00000000
बोलता	परिस्थिती	1	1.00000000
बोलतात	ती	1	0.50000000
बोलतात	याचं	1	0.50000000
भरणारा	जनावरांचा	1	1.00000000
भरवला	जाईल	1	1.00000000
भाजपचे	प्रदेश	1	1.00000000
भाजलेल्या	रुग्णाच्या	1	1.00000000
भावना	ह्या	1	1.00000000
भौगोलिक	प्रदेशात	1	1.00000000
मंत्री	तसेच	1	1.00000000
मंत्र्यावर	केलेल्या	1	1.00000000
मजबूत	असणं	1	0.50000000
मजबूत	आणि	1	0.50000000
मनातलं	काही	1	0.50000000
मनातलं	सारं	1	0.50000000
मला	नक्कीच	1	1.00000000
महसूल	मंत्री	1	1.00000000
माझी	टीम	1	1.00000000
मात्र	,	1	1.00000000
माध्यमिक	विभागाच्या	1	1.00000000
मालिका	पाहून	1	1.00000000
मिळवले	यावर	1	1.00000000
मुके	होतात	1	1.00000000
मुख्यमंत्री	घरी	1	0.50000000
मुख्यमंत्री	म्हणाले	1	0.50000000
मुख्यमंत्र्यांनी	प्रकाश	1	1.00000000
मुलीला	गुन्हेशाखा	1	1.00000000
म्हणजे	एखाद्या	1	1.00000000
म्हणत	महसूल	1	1.00000000
म्हणाले	'	1	0.50000000
या	आई	1	0.25000000
या	क्षेत्रांत	1	0.25000000
या	तंत्राचा	1	0.25000000
या	विरोधकांच्या	1	0.25000000
यांनी	अटक	1	0.33333333
यांनी	शिवसेनेच्या	1	0.33333333
यांनी	सांगितले	1	0.33333333
याचं	आम्हाला	1	1.00000000
यात	आतापर्यंत	1	0.50000000
यात	करोना	1	0.50000000
यावर	मुख्यमंत्र्यांनी	1	1.00000000
यावेळी	पोलिसांनी	1	1.00000000
युतीचा	फॉर्मुला	1	1.00000000
येणार	आहेत	1	1.00000000
रविवारी	भरवला	1	0.50000000
रविवारी	२९८	1	0.50000000
राणे	यांनी	1	1.00000000
राहणाऱ्या	व्यक्तींची	1	1.00000000
राहा	मुख्यमंत्री	1	1.00000000
रुग्णाच्या	त्वचारोपणासाठी	1	1.00000000
रुपयांचा	ऐवज	1	1.00000000
रुपये	असा	1	1.00000000
रोख	1	1	1.00000000
रोगांचे	निदान	1	1.00000000
रोपण	,	1	1.00000000
रोवत	असल्याचे	1	1.00000000
लगावला	आमचं	1	1.00000000
लसनिर्मिती	,	1	1.00000000
लाख	75	1	0.50000000
लाख	88	1	0.50000000
लिहित	राहा	1	1.00000000
लोकं	काय	1	1.00000000
लोकसंख्या	'	1	1.00000000
लोकसभेच्या	आधीच	1	1.00000000
ळेत	जाणे	1	1.00000000
व	गर्भपोषण	1	0.50000000
व	वैद्यकशास्त्रात	1	0.50000000
वयोवृद्धी	,	1	1.00000000
वर	पोहोचली	1	1.00000000
वाटत	होतं	1	1.00000000
वापरली	जाते	1	1.00000000
वापरले	जाते	1	1.00000000
विद्यार्थ्यांसाठी	बंद	1	1.00000000
विधानसभेसाठीचं	गणित	1	1.00000000
विभागाच्या	शाळा	1	1.00000000
विरोधकांच्या	टीकेला	1	1.00000000
विशेषकरून	जीवशास्त्र	1	1.00000000
वैद्यकशास्त्रात	होतो	1	1.00000000
व्यक्तींची	संख्या	1	1.00000000
शंभरपेक्षा	अधिक	1	1.00000000
शकत	नाही	1	1.00000000
शक्य	झाल्या	1	1.00000000
शनिवारी	भरणारा	1	1.00000000
शब्द	मुके	1	1.00000000
शब्दांची	आवश्यकताच	1	1.00000000
शहरातील	माध्यमिक	1	1.00000000
शा	ळेत	1	1.00000000
शाळा	३	1	1.00000000
शिक्षकांना	शा	1	1.00000000
शिक्षकेतर	कर्मचारी	1	0.50000000
शिक्षकेतर	कर्मचाऱ्यांना	1	0.50000000
शिवसेनेच्या	मंत्र्यावर	1	1.00000000
शिवसेनेने	कोणतीही	1	1.00000000
संख्या	वर	1	0.50000000
संख्या	होय	1	0.50000000
संबंध	नाही	1	1.00000000
संवर्धन	तंत्र	1	0.50000000
संवर्धन	तंत्राचे	1	0.50000000
संवर्धनाद्वारे	निर्माण	1	1.00000000
संवर्धनामुळे	शक्य	1	1.00000000
संशोधन	व	1	1.00000000
सक्तीची	केली	1	1.00000000
सचिव	बाळासाहेब	1	1.00000000
सध्याचे	तरी	1	1.00000000
समजावतो	मनातलं	1	1.00000000
समितीचे	सचिव	1	1.00000000
सांगितले	युतीचा	1	1.00000000
सांगितल्यामुळे	तिलाही	1	1.00000000
सामान्य	किंवा	1	1.00000000
सारं	काही	1	1.00000000
सार्थ	अभिमान	1	1.00000000
सोनी	टिव्हीवरील	1	1.00000000
सोन्याचे	दागिने	1	1.00000000
सोमवारी	५९८	1	1.00000000
हजार	रुपयांचा	1	0.50000000
हजार	रुपये	1	0.50000000
हलकं	वाटत	1	0.50000000
हलकं	हलकं	1	0.50000000
हॅास्पीटलला	२५	1	1.00000000
होणारा	परिणाम	1	1.00000000
होतं	टॅक्सी	1	1.00000000
होतात	तेव्हा	1	1.00000000
होती	त्यामध्ये	1	0.50000000
होती	पब्लिसिटीसाठी	1	0.50000000
होतो	वयोवृद्धी	1	1.00000000
होय	एमपीसी	1	1.00000000
ह्या	बोलतात	1	1.00000000
१८	जणांना	1	1.00000000
२५	ते	1	1.00000000
२९८	शिक्षकांची	1	1.00000000
३	जानेवारीपर्यंत	1	1.00000000
३०	टक्के	1	1.00000000
५९८	शिक्षकांची	1	1.00000000
ॲाक्सीजनचा	तुटवडा	1	1.00000000
